Quotes,LOW,Visual,Evaluate/Create,Quotes,Positive Mindset Quotes,,https://www.pinterest.com/ally1203/motivational-quotes-for-students
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Little Treehouse Math,Math Training for Kids,https://play.google.com/store/apps/details?id=com.littletreehouseapps.mathstraninig&hl=en_US&gl=US
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Adventure Academy Math,,https://www.adventureacademy.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Elephant Learning,,https://www.elephantlearning.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Doodle Math,,https://www.doodlemaths.com/available-apps
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Buzz Math,, https://www.buzzmath.com/en-us
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Dragon Box,,https://dragonbox.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,What Is Algebra?,,https://www.youtube.com/watch?v=NybHckSEQBI
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,8th Grade Algebra,,https://www.youtube.com/watch?v=jGjsVfhVlz8&t=236s
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,9th Grade Math Review,,https://www.youtube.com/watch?v=_lxccBUcNaY
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,10th Grade Math Review,,https://www.youtube.com/watch?v=Veb22xD0Ao0
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,11th Grade Math Review,,https://www.youtube.com/watch?v=yEPVEfUVrF4
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Jensen Math,,https://www.jensenmath.ca
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Virtual Nerd,,https://www.virtualnerd.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Cue Think,,https://www.cuethink.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Super Teacher Tools,,https://www.superteachertools.us
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Geogebra,,https://www.geogebra.org/?lang=en
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Geometry Dash,,https://play.google.com/store/apps/details?id=com.robtopx.geometryjump&hl=en_US&gl=US
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Open Middle,,https://www.openmiddle.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Study Pug,,https://www.studypug.com/home8-2
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Cy Math,,https://www.cymath.com
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Prodigy Math,,https://www.prodigygame.com/main-en
Academics,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Math,Khan Academy,,https://www.khanacademy.org
Academics,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Math,Cool Math Games,,https://www.coolmathgames.com
